open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1505520000000,3674.01000000,3950.00000000,3658.04000000,3770.00000000,170.70604100,1505534399999,649331.15746060,1698,97.83620400,372528.56541642,0
1505534400000,3769.94000000,3935.93000000,3753.23000000,3847.90000000,257.80477800,1505548799999,985971.08398530,1488,117.80815600,451013.59328554,0
1505548800000,3847.92000000,3850.00000000,3470.66000000,3630.06000000,408.64999300,1505563199999,1492553.71555960,2008,171.66154200,626249.40092848,0
1505563200000,3630.06000000,3800.00000000,3531.01000000,3567.11000000,210.07850100,1505577599999,766451.69427410,1722,87.83475400,320517.78618056,0
1505577600000,3567.03000000,3714.99000000,3531.05000000,3664.00000000,172.87763300,1505591999999,626059.51856367,1209,122.23835600,442886.48677809,0
1505592000000,3664.01000000,3715.00000000,3600.60000000,3714.95000000,77.44700700,1505606399999,284511.07736956,684,27.50883000,101340.20012999,0
1505606400000,3685.23000000,3709.94000000,3580.00000000,3580.00000000,125.95759900,1505620799999,456179.25320811,955,33.82690200,122953.25761938,0
1505620800000,3568.07000000,3604.79000000,3550.00000000,3559.00000000,85.89339800,1505635199999,305999.53271408,821,19.98146900,71300.92511414,0
1505635200000,3559.00000000,3609.39000000,3499.02000000,3499.03000000,160.75557200,1505649599999,568689.56449441,1576,57.23650000,203022.56335512,0
1505649600000,3499.03000000,3660.00000000,3499.03000000,3637.33000000,135.94399000,1505663999999,491585.18123360,1076,81.11483700,293709.53596260,0
1505664000000,3649.49000000,3748.21000000,3638.05000000,3720.00000000,85.07421700,1505678399999,315462.37170888,992,42.29016900,157034.03456378,0
1505678400000,3700.13000000,3739.00000000,3679.15000000,3699.99000000,88.54643400,1505692799999,328574.37523558,935,39.48209900,146823.31384447,0
1505692800000,3690.00000000,3850.00000000,3690.00000000,3830.00000000,129.76367800,1505707199999,491232.77865682,1272,59.40041700,224747.15241752,0
1505707200000,3830.00000000,4000.00000000,3760.00000000,3950.32000000,227.68471300,1505721599999,885643.34212919,1647,103.43735600,406387.67516436,0
1505721600000,3976.58000000,3976.58000000,3848.33000000,3929.33000000,150.27891500,1505735999999,590682.93559886,1170,55.52643100,219172.29977782,0
1505736000000,3932.98000000,4123.20000000,3890.00000000,4030.33000000,291.97629100,1505750399999,1179529.36972604,2225,129.15852100,520975.78782388,0
1505750400000,4048.99000000,4048.99000000,3928.33000000,3969.48000000,113.49421300,1505764799999,450874.49343967,1062,42.11152100,167544.71404805,0
1505764800000,3969.50000000,4085.00000000,3951.00000000,4035.01000000,116.80864500,1505779199999,471070.13760805,844,28.00447600,113035.74202713,0
1505779200000,4060.00000000,4089.97000000,3901.00000000,3971.02000000,163.64375100,1505793599999,652061.07838061,1271,56.41637300,224915.55362872,0
1505793600000,3972.00000000,3981.19000000,3830.91000000,3936.28000000,181.78173000,1505807999999,711443.67286928,1364,50.78027000,198797.37938981,0
1505808000000,3880.06000000,4032.02000000,3873.00000000,3969.01000000,125.44811500,1505822399999,497852.70825689,931,42.04258800,167561.56035015,0
1505822400000,3969.32000000,4029.99000000,3901.02000000,3965.01000000,171.19427200,1505836799999,679036.93149045,1315,49.74448100,197430.65269814,0
1505836800000,3970.00000000,4014.56000000,3871.99000000,3890.01000000,122.48017600,1505851199999,484441.10193394,1165,23.47532000,92965.34363314,0
1505851200000,3890.02000000,3920.00000000,3830.91000000,3910.04000000,137.78408500,1505865599999,533479.70450755,1296,34.86132000,135133.39207536,0
1505865600000,3910.04000000,3923.26000000,3843.00000000,3875.93000000,110.32137900,1505879999999,428527.76527492,1042,22.14478400,86305.59439135,0
1505880000000,3875.91000000,3988.83000000,3820.00000000,3913.89000000,147.87468800,1505894399999,575758.49062031,1643,84.23624400,330081.80370461,0
1505894400000,3913.91000000,3979.99000000,3859.31000000,3927.77000000,108.22949800,1505908799999,425661.74015598,1189,83.56381800,329073.52963125,0
1505908800000,3927.77000000,4046.08000000,3912.08000000,4005.00000000,127.93275800,1505923199999,510343.63572449,1239,59.01214700,234583.86055165,0
1505923200000,3997.50000000,4039.99000000,3962.76000000,3962.93000000,105.22165500,1505937599999,421163.63706076,1016,76.01773300,304438.43332311,0
1505937600000,3962.93000000,4000.00000000,3860.09000000,3900.00000000,121.35509800,1505951999999,478129.18425158,1102,70.30041200,277726.92823719,0
1505952000000,3889.99000000,3910.00000000,3816.63000000,3827.66000000,167.38987300,1505966399999,645251.86768680,1331,90.74489100,349912.62418954,0
1505966400000,3820.02000000,3903.28000000,3800.00000000,3885.23000000,109.78335700,1505980799999,423758.90541540,1151,65.05501400,251242.39321431,0
1505980800000,3885.23000000,3904.81000000,3835.88000000,3864.95000000,69.45838900,1505995199999,268824.24750125,1047,49.45140000,191576.61623989,0
1505995200000,3862.99000000,3879.99000000,3668.60000000,3727.44000000,274.62028600,1506009599999,1034122.59777983,1916,118.14030600,447632.21139868,0
1506009600000,3730.00000000,3747.48000000,3592.62000000,3605.03000000,205.53549000,1506023999999,750607.12594148,1719,97.73275500,356734.33227378,0
1506024000000,3605.03000000,3678.26000000,3567.00000000,3609.99000000,174.86668900,1506038399999,634478.33388788,1550,96.13456000,349140.46142127,0
1506038400000,3592.84000000,3697.51000000,3592.84000000,3697.51000000,131.71382300,1506052799999,480636.26820385,1273,96.29838600,351351.09304513,0
1506052800000,3693.01000000,3750.00000000,3658.46000000,3658.46000000,139.67406800,1506067199999,518551.57673377,1403,77.73737300,288692.79159414,0
1506067200000,3658.46000000,3669.00000000,3522.22000000,3539.97000000,151.96023800,1506081599999,546803.52178793,1258,70.33917300,253758.07145864,0
1506081600000,3528.36000000,3645.99000000,3505.55000000,3514.07000000,179.87463300,1506095999999,641642.93430202,1740,104.81093400,374662.12320316,0
1506096000000,3527.97000000,3590.00000000,3514.08000000,3590.00000000,109.50090700,1506110399999,389028.77766810,1192,79.54452900,282760.17268733,0
1506110400000,3590.00000000,3645.18000000,3574.70000000,3595.87000000,126.24275600,1506124799999,455108.35423282,1286,82.32947400,296880.36055334,0
1506124800000,3595.88000000,3628.00000000,3542.91000000,3605.00000000,95.78610200,1506139199999,343942.60159434,1000,44.16568100,158519.40561191,0
