o,h,l,c,v,qav,num_trades
306.71,310.99,305.61,306.0,303.80651,93518.0979038,588.0
306.0,311.89,304.99,310.06,292.92174,90084.9517893,654.0
310.01,311.68,307.86,308.02,216.05506,66882.099024,546.0
308.02,318.5,306.34,311.01,481.7585,151008.2390024,730.0
311.08,314.46,311.01,312.75,479.63782,149853.0827627,1016.0
312.5,314.44,310.47,311.38,329.24393,102904.0955022,732.0
312.0,313.0,309.5,310.43,501.61478,155981.2015058,1228.0
310.44,316.47,309.5,313.97,670.88362,209774.5634213,1416.0
313.5,317.07,310.77,311.66,438.93374,137349.0197238,810.0
311.53,314.17,309.0,311.07,540.61809,168127.8246382,1045.0
311.13,312.13,305.0,305.5,523.67357,161215.6249184,1021.0
305.0,310.0,303.0,304.02,518.42806,158584.5244073,969.0
305.01,306.95,302.32,305.63,334.30214,101924.3278111,795.0
305.63,309.31,297.0,300.01,956.81031,289933.1676761,1182.0
300.01,300.92,286.65,288.26,1209.90629,354003.2580314,1986.0
290.14,300.0,288.8,297.19,1342.25826,396863.7221088,2727.0
297.35,299.12,293.55,298.55,1358.75713,402202.0787955,2967.0
298.55,300.0,293.0,296.0,606.75283,180463.8025563,832.0
296.54,301.48,293.0,299.21,839.29898,249071.5086815,1161.0
299.58,307.21,299.53,305.42,1168.1671,355318.2132129,1602.0
307.21,308.56,300.64,300.71,1641.8397,500113.6874169,1634.0
302.41,304.42,297.9,298.64,1134.45894,341371.1822642,1196.0
300.88,305.5,298.61,302.27,1444.91162,437057.283287,1285.0
302.27,305.48,300.0,303.75,651.77038,197290.3748567,955.0
302.47,304.64,298.02,301.73,874.196,263207.5127502,841.0
301.72,303.99,299.76,299.82,373.53497,112705.7225261,521.0
299.86,304.77,299.2,304.03,231.30944,69888.6724494,295.0
303.0,304.01,300.59,304.01,148.96389,45181.9374878,182.0
304.01,308.01,303.6,305.55,574.05093,175749.4206574,547.0
307.0,309.35,305.4,307.09,415.60345,127646.4386771,458.0
306.02,310.0,303.8,306.0,1887.19434,578373.9207027,872.0
306.0,308.73,304.5,306.45,1894.1304,582658.2581704,1047.0
306.45,308.0,302.71,305.99,1537.17222,468734.9053642,1091.0
305.95,308.02,303.77,303.99,1519.60462,463902.2197953,941.0
303.52,305.89,297.0,304.73,3858.40069,1161661.2703247,2463.0
304.64,339.5,303.0,328.0,4071.43779,1298003.3027249,2188.0
328.53,333.0,323.81,330.44,3430.47071,1125289.4954645,1568.0
330.43,353.96,328.01,341.5,3151.46051,1077493.004231,1620.0
342.22,351.99,341.19,341.36,1974.48408,683241.3818236,1120.0
341.36,343.99,333.15,337.96,1439.11207,487298.8013414,939.0
337.96,345.0,335.0,342.04,1192.77524,402912.4989123,946.0
343.99,349.77,340.11,346.53,1448.47607,496999.2712104,949.0
347.48,349.8,340.11,341.91,1492.85955,516024.1678398,966.0
341.91,345.93,340.17,344.04,1318.47327,451546.6427038,756.0
344.15,349.79,343.01,348.06,1455.54371,503239.5786651,1078.0
348.05,348.12,340.0,342.0,823.83685,284979.9552141,1008.0
342.0,348.0,337.62,338.03,1739.98428,595485.2441432,1134.0
338.04,345.04,337.03,341.49,1452.88733,494762.9472394,996.0
341.4,341.88,316.17,318.06,2754.65635,900504.476242,1815.0
319.3,335.27,318.8,333.56,1862.35778,607187.4004752,1025.0
333.55,333.91,325.15,330.36,1338.76889,441050.7507998,933.0
330.38,337.99,326.97,337.96,862.69245,287761.778217,919.0
337.5,352.21,336.01,342.86,1423.99437,488284.4337375,1140.0
342.87,354.0,336.05,339.99,1914.38387,659765.3681417,1252.0
339.99,345.8,337.03,340.99,1596.1144,543655.4782144,1234.0
340.24,346.92,338.96,338.96,1387.44761,477064.8124833,1107.0
341.99,342.47,332.78,334.31,1392.61027,469211.0207487,944.0
334.31,338.0,332.78,335.19,948.92045,318540.9284618,909.0
335.18,336.58,326.0,327.02,1224.6327,403621.5533408,1163.0
327.49,330.54,324.93,326.73,1198.30935,392223.0104457,1114.0
326.81,333.55,321.24,323.35,1015.45172,332368.9382294,880.0
321.26,327.66,320.46,322.29,1416.3257,457037.3393782,1054.0
322.29,323.0,317.01,322.88,1843.85224,592664.6568149,1329.0
322.89,323.0,312.65,315.19,1448.17185,460235.3910814,1297.0
315.19,316.01,301.71,305.51,2576.57723,794913.0765634,2710.0
306.0,318.0,300.0,302.7,2613.28432,805599.1296822,1883.0
300.01,302.62,295.2,297.25,2596.04466,775250.3806075,1614.0
295.61,307.08,284.68,306.4,2288.13356,673825.0381576,1651.0
305.1,307.5,300.01,303.04,1322.31252,401322.9950368,787.0
303.04,313.98,300.27,309.7,1511.69311,464859.53442,1156.0
311.52,315.0,307.33,311.03,1532.50602,477240.0175083,1387.0
307.77,312.06,301.22,305.01,1054.74677,325319.1169671,821.0
305.02,309.0,304.4,307.01,1654.37482,508104.1606045,1239.0
307.0,313.93,300.0,305.65,1526.78916,468171.3763218,1394.0
305.66,311.98,304.8,306.02,1543.0624,475811.643578,980.0
308.8,311.35,305.79,308.66,1367.26822,420753.5452628,948.0
308.66,308.66,305.48,307.91,1023.06323,314292.9556989,1015.0
307.04,308.69,302.13,302.37,1355.2104,414838.8291382,1069.0
302.4,306.87,302.01,303.27,991.50978,300979.4666885,924.0
303.25,311.18,303.0,305.55,2132.30146,652465.6457822,1539.0
305.98,308.83,303.07,305.02,1705.2157,519660.6637578,1113.0
304.36,307.42,302.0,304.51,1532.01707,465154.3386895,1152.0
304.51,305.34,295.0,299.95,2017.23891,609179.1939439,1205.0
298.0,302.14,294.2,297.95,1605.98296,478750.2594275,1213.0
298.09,302.13,294.66,295.48,1363.99449,405284.0327578,1052.0
294.66,295.84,290.16,291.12,1147.40729,337202.1250306,987.0
292.18,298.99,290.0,296.34,1141.28288,336007.3570524,988.0
296.34,302.25,293.31,298.94,1315.72468,392254.4433306,898.0
298.99,306.99,298.92,302.3,942.13393,284699.5671364,980.0
302.32,302.5,293.31,295.98,1777.12487,527154.6170173,1092.0
295.99,296.98,290.0,292.52,1393.98564,409443.5068562,1034.0
292.52,297.96,290.01,297.53,1282.09295,377704.241452,1023.0
297.34,297.71,290.55,290.56,1016.19025,298874.2904938,806.0
290.55,295.78,290.01,293.79,761.54129,222670.3240668,893.0
293.78,294.6,290.01,290.26,1282.19891,374230.3221475,898.0
290.24,292.97,286.0,286.11,1518.50791,438481.4994141,1099.0
