o,h,l,c,v,qav,num_trades
3928.0,3959.56,3886.67,3896.02,122.997074,483677.63337344,1727.0
3896.02,3940.0,3850.05,3925.0,127.303112,494825.66472989,1714.0
3925.0,3949.92,3888.28,3949.45,75.048345,294169.98155557,1406.0
3950.0,3976.99,3892.51,3920.0,53.800832,211935.18322922,822.0
3925.0,3939.99,3890.98,3906.13,40.087717,156769.05006488,881.0
3911.06,3935.0,3880.0,3882.35,107.490907,419818.06572709,1421.0
3882.36,3973.0,3872.81,3947.0,67.904056,266290.3746637,1009.0
3931.0,3968.0,3930.0,3968.0,46.262674,182682.71620704,831.0
3952.1,4099.95,3931.0,4073.0,164.50711,663728.06683748,1776.0
4072.2,4119.0,4053.4,4090.0,148.359299,606915.32030156,1942.0
4099.8,4200.0,4075.05,4190.0,135.406179,558905.22630977,1705.0
4189.0,4249.94,4152.01,4193.0,65.731648,276108.11015146,1110.0
4192.11,4219.99,4140.01,4200.0,135.347605,565746.21137835,1761.0
4200.0,4300.0,4185.0,4246.0,125.832592,534020.20468359,1863.0
4247.0,4272.45,4136.0,4180.0,147.336943,619341.1446662,2180.0
4170.19,4210.0,4101.0,4168.0,192.324787,799432.85879561,2225.0
4133.03,4209.68,4110.0,4149.99,118.435878,493032.27578454,1808.0
4143.12,4194.99,4114.03,4174.5,130.50752,541606.17506525,1589.0
4178.98,4215.0,3952.01,4032.87,569.973417,2312361.89428117,3538.0
4000.0,4113.81,3970.0,4090.1,332.3511,1345054.30321188,3032.0
4090.1,4248.0,4060.02,4220.01,185.563112,765702.9740089,2072.0
4234.99,4251.0,4131.68,4143.02,204.608176,857939.90114679,2528.0
4145.03,4259.99,4101.01,4179.99,152.938417,638820.42821087,1827.0
4146.96,4263.86,4106.0,4174.69,156.875343,651866.85814115,1837.0
4175.0,4298.0,4138.1,4214.0,123.327131,517797.1376048,1425.0
4216.01,4300.0,4180.81,4300.0,169.846073,721872.1583444,1997.0
4310.0,4345.0,4266.11,4324.99,109.083627,470177.31633367,1731.0
4320.21,4358.99,4275.35,4353.98,119.090837,514758.3156478,1515.0
4349.0,4380.0,4307.5,4368.98,130.618236,566338.67846666,1618.0
4343.18,4379.95,4310.25,4378.51,68.387279,297410.79444803,1038.0
4378.49,4378.49,4265.02,4312.58,133.368146,576654.31393933,1718.0
4312.77,4335.82,4275.0,4335.82,85.839809,369550.4922468,1568.0
4335.82,4359.6,4288.0,4337.01,87.254644,377788.88240885,1360.0
4337.01,4356.99,4240.04,4299.99,198.525474,852070.19349668,2404.0
4290.17,4329.99,4270.01,4329.52,109.852914,472468.84719096,1279.0
